round_idx,val_accuracy,val_loss,train_loss,local_accuracy,comm_bytes_total,avg_compression_ratio,avg_reconstruction_error,aggregated_delta_norm,round_time_s,agg_time_s,avg_recon_time_s,num_sampled_clients,num_successful_clients
0,0.521600,1.837929,0.036047,0.993217,1312720,0.099995,0.395603,1.038363,116.2679,0.0020,0.0024,10,10
1,0.650300,1.242926,0.029457,0.994983,1312720,0.099995,0.577242,0.910153,133.7337,0.0030,0.0006,10,10
2,0.708700,0.877112,0.024108,0.996500,1312720,0.099995,0.651445,0.828422,161.7839,0.0022,0.0009,10,10
3,0.790100,0.652140,0.019561,0.997317,1312720,0.099995,0.683605,0.780910,170.1186,0.0035,0.0007,10,10
4,0.805600,0.547370,0.016321,0.997883,1312720,0.099995,0.711074,0.716970,177.6020,0.0039,0.0011,10,10
5,0.862100,0.448631,0.014213,0.997917,1312720,0.099995,0.729577,0.684769,176.0642,0.0018,0.0009,10,10
6,0.853800,0.422876,0.013602,0.998000,1312720,0.099995,0.743868,0.648714,189.5977,0.0064,0.0009,10,10
7,0.883800,0.364353,0.011774,0.998533,1312720,0.099995,0.754553,0.620712,186.4862,0.0037,0.0007,10,10
8,0.887900,0.347978,0.010879,0.998733,1312720,0.099995,0.764455,0.603045,190.4559,0.0023,0.0006,10,10
9,0.906000,0.309468,0.010562,0.999067,1312720,0.099995,0.770976,0.586651,185.1971,0.0030,0.0004,10,10
10,0.903200,0.307983,0.009961,0.999067,1312720,0.099995,0.777111,0.575296,162.8197,0.0026,0.0005,10,10
11,0.916300,0.279609,0.008219,0.999283,1312720,0.099995,0.779057,0.566636,149.1920,0.0027,0.0005,10,10
12,0.915000,0.274763,0.007756,0.999467,1312720,0.099995,0.782218,0.551157,141.4521,0.0026,0.0005,10,10
13,0.921300,0.255797,0.007404,0.999300,1312720,0.099995,0.784259,0.541935,149.9616,0.0032,0.0005,10,10
14,0.913800,0.264213,0.007072,0.998933,1312720,0.099995,0.786897,0.532521,159.6161,0.0030,0.0007,10,10
15,0.929000,0.236758,0.006248,0.999633,1312720,0.099995,0.788963,0.529222,185.1758,0.0019,0.0005,10,10
16,0.925700,0.235674,0.006108,0.999567,1312720,0.099995,0.791018,0.520922,163.4649,0.0027,0.0004,10,10
17,0.935200,0.218346,0.005648,0.999600,1312720,0.099995,0.792934,0.508088,171.8465,0.0031,0.0008,10,10
18,0.931900,0.219187,0.005781,0.999667,1312720,0.099995,0.795189,0.504590,177.8050,0.0032,0.0006,10,10
19,0.936100,0.210532,0.005985,0.999700,1312720,0.099995,0.795828,0.496911,168.3483,0.0031,0.0006,10,10
20,0.934900,0.211426,0.005056,0.999783,1312720,0.099995,0.796898,0.492613,158.9735,0.0031,0.0006,10,10
21,0.937500,0.203583,0.004953,0.999650,1312720,0.099995,0.797597,0.485252,171.2099,0.0030,0.0006,10,10
22,0.938600,0.199885,0.004269,0.999800,1312720,0.099995,0.798772,0.483537,176.8834,0.0031,0.0023,10,10
23,0.940300,0.192647,0.004324,0.999767,1312720,0.099995,0.799456,0.475173,189.0449,0.0026,0.0007,10,10
24,0.943300,0.189412,0.004202,0.999800,1312720,0.099995,0.800540,0.469967,186.5381,0.0031,0.0006,10,10
25,0.944400,0.184136,0.004436,0.999900,1312720,0.099995,0.802059,0.465135,183.7329,0.0034,0.0006,10,10
26,0.942000,0.188083,0.004357,0.999817,1312720,0.099995,0.803788,0.459107,163.5991,0.0016,0.0004,10,10
27,0.945600,0.179675,0.003780,0.999850,1312720,0.099995,0.804316,0.454226,140.3572,0.0026,0.0005,10,10
28,0.945500,0.176489,0.003557,0.999867,1312720,0.099995,0.804579,0.451580,150.8522,0.0028,0.0005,10,10
29,0.947600,0.170608,0.003477,0.999800,1312720,0.099995,0.806123,0.449166,82.3477,0.0015,0.0003,10,10
